Power,Power ratio,J_solved,V_cells,V_stack,I_stack,current_T,current_SOH,L_pem_m,h2_in_o2_percent,h2_gen_rate,V_tn,Degradation_cost
101250.0,0.75,0.8449560555957574,1.9203320020022838,92.17593609610962,109.84428722744846,308.15,1.0,8.481190120094124e-05,0.0,0.0,1.48350062,58.28283323897559
108000.0,0.8,0.89506013211154,1.9336904512618232,92.81714166056751,116.3578171745002,308.15,1.0,8.481190120094124e-05,0.0,0.0,1.48350062,58.5672674284129
114750.0,0.8499999999999999,0.944624949597946,1.9467433169905195,93.44367921554493,122.80124344773297,308.15,1.0,8.481190120094124e-05,0.0,0.0,1.48350062,58.84864031594458
121500.0,0.8999999999999996,0.9936709989294646,1.959517170887664,94.05682420260787,129.1772298608304,308.15,1.0,8.481190120094124e-05,0.0,0.0,1.48350062,59.12706822554428
128250.0,0.9499999999999978,1.0422172096312659,1.9720346608607755,94.65766372131722,135.48823725206455,308.15,1.0,8.481190120094124e-05,0.0,0.0,1.48350062,59.40265861761288
135000.0,0.9999999999999949,1.090281145054861,1.98431528259866,95.24713356473569,141.73654885713194,308.15,1.0,8.481190120094124e-05,0.0,0.0,1.48350062,59.6755111969648
0.0,0.0,0.0,0.0,0.0,0.0,313.15,1.0,8.481190120094124e-05,0.0,0.0,1.48463232,0.0
6750.0,0.05,0.06668163235090636,1.6222319866710129,77.86713536020862,8.668612205617828,313.15,1.0,8.481190120094124e-05,0.0,0.0,1.48463232,65.79045977802734
13500.0,0.09999999999999998,0.13013667163165532,1.6624534125055053,79.79776380026425,16.917767312115192,313.15,1.0,8.481190120094124e-05,0.0,0.0,1.48463232,66.23044060313502
20250.0,0.15000000000000002,0.1917312442040442,1.6925735401991708,81.2435299295602,24.925061746525746,313.15,1.0,8.481190120094124e-05,0.6061687798574281,0.12461086762296386,1.48463232,66.65752143343207
27000.0,0.2,0.25189649889897825,1.7177384742684993,82.45144676488798,32.746544856867175,313.15,1.0,8.481190120094124e-05,0.46172015184054127,0.16383298907300894,1.48463232,67.07469174336393
