time,P_stack,T_stack,H2,Q_delivered,W_pump,degradation_cost,y_on,y_off,y_standby,y_cold_start,wind,price,window_H2_max,active_mode
34,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,261416.7129,105.35999699999999,18941.21360595032,1103.0
35,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,233033.123,105.35999699999999,18941.21360595032,1103.0
36,128250.0,350.649,445.5917505405248,22368.1103401004,362.1369070879337,296.9933041956159,1.0,0.0,0.0,0.0,223494.4793,97.02000000000001,18941.21360595032,1104.0
37,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,216045.627,97.02000000000001,18513.176897114052,1104.0
38,128250.0,350.649,445.5917505405248,22368.1103401004,362.1369070879337,296.9933041956159,1.0,0.0,0.0,0.0,206765.224,97.02000000000001,18513.176897114052,1104.0
39,128250.0,350.649,445.5917505405248,22368.1103401004,362.1369070879337,296.9933041956159,1.0,0.0,0.0,0.0,183243.8107,97.02000000000001,18513.176897114052,1104.0
40,128250.0,350.649,445.5917505405248,22368.1103401004,362.1369070879337,296.9933041956159,1.0,0.0,0.0,0.0,181460.2874,97.02000000000001,18513.176897114052,1104.0
41,128250.0,350.649,445.5917505405248,22368.1103401004,362.1369070879337,296.9933041956159,1.0,0.0,0.0,0.0,174231.7479,97.02000000000001,18513.176897114052,1104.0
42,128250.0,350.649,445.5917505405248,22368.1103401004,362.1369070879337,296.9933041956159,1.0,0.0,0.0,0.0,166563.614,91.169997,18513.176897114052,1104.0
43,128250.0,350.649,445.5917505405248,22368.1103401004,362.13690708793007,296.9933041956159,1.0,0.0,0.0,0.0,160611.4432,91.169997,17702.7398044004,1104.0
44,126900.0,350.649,441.3756047939902,22016.337108999658,356.44174250003493,296.69022302802944,1.0,0.0,0.0,0.0,133809.5553,91.169997,17702.7398044004,1103.0
45,101250.0,345.65099999999995,359.8532891740064,15675.253450113403,253.7803916349094,290.8299231029698,1.0,0.0,0.0,0.0,108598.4245,91.169997,17702.7398044004,1084.0
46,85050.0,345.65099999999995,303.8022699463028,13285.307730885896,645.2624086107094,234.80834480518223,1.0,0.0,0.0,0.0,91830.9092,91.169997,17702.7398044004,972.0
47,68850.0,340.649,250.09596195777672,9689.105754487291,470.5962287865993,231.64745221870496,1.0,0.0,0.0,0.0,76769.2225,91.169997,17702.7398044004,960.0
48,56700.0,340.649,208.84028973894775,7236.016187221264,351.45058950027993,229.21934361562447,1.0,0.0,0.0,0.0,64165.7534,88.94999999999999,17702.7398044004,951.0
49,45900.0,340.649,169.78995686931898,5899.592929827836,477.56835606617096,185.78413527442228,1.0,0.0,0.0,0.0,52995.85443,88.94999999999999,18027.317908718283,842.0
50,36450.0,340.649,137.89542465105643,3694.0579701733573,179.41900870238263,225.04387323786452,1.0,0.0,0.0,0.0,44399.4623,88.94999999999999,18027.317908718283,936.0
51,31050.0,340.649,118.43507678850288,2885.0075950880073,140.12373573694737,223.8985316273007,1.0,0.0,0.0,0.0,38444.5424,88.94999999999999,18027.317908718283,932.0
52,22950.0,335.649,88.72935078279163,1800.2790819762724,87.43305460772412,222.1501967924534,1.0,0.0,0.0,0.0,30415.9954,88.94999999999999,18027.317908718283,926.0
53,16200.0,336.1738964863871,62.92407441483516,1228.9811102824613,99.48525185636841,180.63464052360806,1.0,0.0,0.0,0.0,23531.59986,88.94999999999999,18027.317908718283,820.0
54,0.0,335.75135758479024,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,20136.69023,88.679997,18027.317908718283,808.0
55,0.0,335.3335141284228,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,18027.22547,88.679997,19927.735026283328,808.0
56,0.0,334.92031393935287,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,18730.67049,88.679997,19927.735026283328,707.0
57,0.0,334.51170541947477,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,18877.61673,88.679997,19927.735026283328,707.0
58,0.0,334.10763754406304,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,17940.613889,88.679997,19927.735026283328,707.0
59,0.0,333.7080598554029,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15133.5504657,88.679997,19927.735026283328,707.0
60,0.0,333.31292245648865,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,14082.5885343,87.44999999999999,19927.735026283328,707.0
61,0.0,332.92217600479285,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15434.2556863,87.44999999999999,22522.547513297483,707.0
62,0.0,332.53577170610424,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,16799.34351,87.44999999999999,22522.547513297483,707.0
63,0.0,332.15366130843745,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,16776.281774,87.44999999999999,22522.547513297483,707.0
64,0.0,331.7757970960025,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,13543.2113579,87.44999999999999,22522.547513297483,707.0
65,0.0,331.40213188325015,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,13918.983714,87.44999999999999,22522.547513297483,707.0
66,0.0,331.0326190089784,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,17362.506613,88.11000299999999,22522.547513297483,707.0
67,0.0,330.6672123305056,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,18019.5478226,88.11000299999999,25207.469143325077,707.0
68,0.0,330.3058662179089,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,16261.315601,88.11000299999999,25207.469143325077,707.0
69,0.0,329.94853554832616,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,14907.4129867,88.11000299999999,25207.469143325077,606.0
70,0.0,329.59517570032153,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,16390.3580803,88.11000299999999,25207.469143325077,606.0
71,0.0,329.24574254831185,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,17740.4131,88.11000299999999,25207.469143325077,606.0
72,0.0,328.900192457058,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15630.288146,91.02,25207.469143325077,606.0
73,0.0,328.55848227621544,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15313.381103,91.02,27823.589289857726,606.0
74,0.0,328.2205693349454,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,12873.5602126,91.02,27823.589289857726,606.0
75,0.0,327.8864114365899,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,9060.5805,91.02,27823.589289857726,606.0
76,0.0,327.5559668533961,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,7835.090831,91.02,27823.589289857726,606.0
77,0.0,327.2291943213104,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,7184.6015777,91.02,27823.589289857726,606.0
78,0.0,326.90605303482374,0.0,0.0,0.0,37050.0,0.0,1.0,0.0,0.0,6579.097175700001,107.819997,27823.589289857726,606.0
79,0.0,326.58650264187696,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8042.373233,107.819997,30525.625433105422,606.0
80,0.0,326.27050323882116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8477.381996,107.819997,30525.625433105422,606.0
81,0.0,325.9580153654352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10069.7626997,107.819997,30525.625433105422,606.0
82,0.0,325.64899999999767,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,15337.531973,107.819997,30525.625433105422,606.0
83,13500.0,320.32266547557964,51.510123045266226,1470.4717008529988,261.874280916719,98.8284000401365,1.0,0.0,0.0,0.0,20793.820771,107.819997,30525.625433105422,515.0
84,16200.0,325.65099999999995,60.90256138852044,0.0,0.0,81.1163077364637,1.0,0.0,0.0,0.0,23601.16201,180.27,30525.625433105422,416.0
85,16200.0,318.99969612556487,61.41369596710512,1897.274418368651,337.8829893317701,99.09030321194021,1.0,0.0,0.0,0.0,23894.84486,180.27,33172.13805879678,517.0
86,18900.0,325.65099999999995,70.60892536968714,0.0,0.0,81.3264660288144,1.0,0.0,0.0,0.0,26455.276163,180.27,33172.13805879678,418.0
87,20250.0,332.3231158739159,76.08247977804979,0.0,0.0,99.4782239186296,1.0,0.0,0.0,0.0,27816.42347,180.27,33172.13805879678,520.0
88,24300.0,335.649,92.14196618847295,2609.146581479172,295.68802934745287,149.04154770934812,1.0,0.0,0.0,0.0,31626.96356,180.27,33172.13805879678,725.0
89,18900.0,331.0142020204863,73.01554794911124,1556.2122612389635,125.97440876511436,181.12091349304586,1.0,0.0,0.0,0.0,25679.233497,180.27,33172.13805879678,822.0
90,0.0,330.649,0.0,0.0,0.0,92.625,0.0,0.0,1.0,0.0,19135.8924993,197.82000600000003,33172.13805879678,707.0
91,13500.0,320.649,51.921211160781304,1276.5424793456523,186.0035668578832,120.7240685844438,1.0,0.0,0.0,0.0,20865.00975,197.82000600000003,35426.46438561524,616.0
