time,y_on,y_off,y_standby,y_cold_start,y_cool,P,wind,Spot Price,H2,sum x,Q cooling,T,Target T,Temp difference,Delta T eff,Q net,Q limit,P_grid,z_shutdown_begin,deg_on_cost,degradation_cost
94,1.0,-0.0,-0.0,0.0,1.0,128250.0,237568.457,83.63999700000001,426.81197613250845,1.0,2675.2384138256557,325.649,298.15,27.499000000000024,27.499000000000024,2675.2384138256543,115178.92848000006,102568.457,-0.0,132.8331860705248,132.8331860705248
95,1.0,-0.0,0.0,0.0,1.0,128250.0,236801.04572,83.63999700000001,426.81197613250845,1.0,2522.621241873668,330.649,298.15,32.499000000000024,32.499000000000024,2675.2384138256543,130536.52848000005,101801.04572,-0.0,132.8331860705248,132.8331860705248
96,1.0,-0.0,0.0,0.0,1.0,120150.0,238826.576,96.33000299999999,407.0550443153642,1.0,2323.9361716486483,330.649,298.15,32.499000000000024,32.499000000000024,2323.9361716486487,130536.52848000005,111926.576,-0.0,161.465430457411,161.465430457411
97,1.0,-0.0,-0.0,0.0,1.0,120150.0,250166.483,96.33000299999999,407.0550443153642,1.0,2171.257952827881,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2323.9361716486487,145900.27151999992,123266.48300000001,-0.0,161.465430457411,161.465430457411
98,1.0,-0.0,0.0,0.0,1.0,120150.0,246536.374,96.33000299999999,407.0550443153642,1.0,2474.9177603804565,330.649,298.15,32.499000000000024,32.499000000000024,2322.2395415596893,130536.52848000005,119636.37400000001,-0.0,161.465430457411,161.465430457411
99,1.0,-0.0,-0.0,0.0,1.0,120150.0,239582.838,96.33000299999999,407.0550443153642,1.0,2171.257952827881,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2323.9361716486487,145900.27151999992,112682.83799999999,-0.0,161.465430457411,161.465430457411
100,1.0,-0.0,-0.0,0.0,1.0,120150.0,212836.6497,96.33000299999999,407.0550443153642,1.0,2322.2395415596893,335.65099999999995,298.15,37.500999999999976,37.500999999999976,2322.2395415596893,145900.27151999992,85936.64970000001,-0.0,161.465430457411,161.465430457411
101,1.0,-0.0,0.0,0.0,1.0,120150.0,190248.2469,96.33000299999999,407.0550443153642,1.0,2932.7692762364195,315.649,298.15,17.499000000000024,17.499000000000024,2322.2395415596893,84463.72848000006,63348.2469,-0.0,161.465430457411,161.465430457411
102,1.0,-0.0,-0.0,0.0,1.0,63450.0,185868.1374,98.64000300000001,220.72487891877455,1.0,948.3234154902922,320.65099999999995,298.15,22.500999999999976,22.500999999999976,1101.0016343110597,99827.47151999993,115668.1374,-0.0,84.57671632992495,84.57671632992495
103,1.0,-0.0,0.0,0.0,1.0,63450.0,175170.5138,98.64000300000001,220.72487891877455,1.0,1251.983223042869,315.64899999999994,298.15,17.498999999999967,17.498999999999967,1099.3050042221003,84463.72847999989,104970.51379999999,-0.0,84.57671632992498,84.57671632992498
